GenomicLocus	IndSigSNP	chr	bp	snp	DateAddedToCatalog	PMID	FirstAuth	Date	Journal	Link	Study	Trait	InitialN	ReplicationN	Region	ReportedGene	MappedGene	UpGene	DownGene	SNP_Gene_ID	UpGeneDist	DownGeneDist	Strongest	SNPs	marged	SNP_ID_cur	Context	intergenic	RiskAF	P	Pmlog	Ptext	OrBeta	95CI	Platform	CNV
8	rs114693598	1	161405053	rs72717009	2014-08-05	24390342	Okada Y	2013-12-25	Nature	www.ncbi.nlm.nih.gov/pubmed/24390342	Genetics of rheumatoid arthritis contributes to biology and drug discovery.	Rheumatoid arthritis	up to 14,361 European ancestry cases, up to 42,923 European ancestry controls, up to 4,873 East Asian ancestry cases, up to 17,642 East Asian ancestry controls	up to 3,775 European ancestry cases, up to 5,801 European ancestry controls, up to 6,871 East Asian ancestry cases, up to 6,392 East Asian ancestry controls	1q23.3	FCGR2A	TRN-GTT2-2 - TRG-TCC4-1	100189402	100188997		7113	4908	rs72717009-T	rs72717009	0	72717009	intron_variant	1	0.1	1E-7	7.0		1.13	[1.08-1.18]	Affymetrix, Illumina [up to 9739303] (imputed)	N
8	rs114693598	1	161405053	rs72717009	2014-08-05	24390342	Okada Y	2013-12-25	Nature	www.ncbi.nlm.nih.gov/pubmed/24390342	Genetics of rheumatoid arthritis contributes to biology and drug discovery.	Rheumatoid arthritis	up to 14,361 European ancestry cases, up to 42,923 European ancestry controls, up to 4,873 East Asian ancestry cases, up to 17,642 East Asian ancestry controls	up to 3,775 European ancestry cases, up to 5,801 European ancestry controls, up to 6,871 East Asian ancestry cases, up to 6,392 East Asian ancestry controls	1q23.3	FCGR2A	TRN-GTT2-2 - TRG-TCC4-1	100189402	100188997		7113	4908	rs72717009-T	rs72717009	0	72717009	intron_variant	1	0.12	5E-7	6.301029995663981	(EA)	1.12	[1.07-1.18]	Affymetrix, Illumina [up to 9739303] (imputed)	N
8	rs114693598	1	161463587	rs7535475	2014-04-01	24039173	McGrath LM	2013-09-13	Am J Med Genet B Neuropsychiatr Genet	www.ncbi.nlm.nih.gov/pubmed/24039173	Genetic predictors of risk and resilience in psychiatric disorders: a cross-disorder genome-wide association study of functional impairment in major depressive disorder, bipolar disorder, and schizophrenia.	Functional impairment in major depressive disorder, bipolar disorder and schizophrenia	2,246 European ancestry individuals	NA	1q23.3	FCGR2A, FCGR3A, HSPA6	LOC105371473			105371473			rs7535475-?	rs7535475	0	7535475	intergenic_variant	0	NR	3E-6	5.522878745280337	(MCS)			Affymetrix [1633452] (imputed)	N
8	rs114693598	1	161470042	rs7551957	2017-07-18	28240269	Suhre K	2017-02-27	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/28240269	Connecting genetic risk to disease end points through the human blood plasma proteome.	Blood protein levels	997 European ancestry individuals	338 Arab, South Asian and Filipino ancestry individuals	1q23.3	FCGR2A, RP11-25K21.6	LOC105371473 - FCGR2A	105371473	2212		4560	5163	rs7551957-C	rs7551957	0	7551957	intergenic_variant	1	0.4259073	2E-111	110.69897000433602	(Low affinity immunoglobulin gamma Fc region receptor II-a/b)	0.8857	[0.82-0.95] unit increase	Affymetrix [509946]	N
8	rs114693598	1	161478810	rs6671847	2016-09-23	26502338	Bentham J	2015-10-26	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/26502338	Genetic association analyses implicate aberrant regulation of innate and adaptive immunity genes in the pathogenesis of systemic lupus erythematosus.	Systemic lupus erythematosus	5,201 European ancestry cases, 9,066 European ancestry controls	NA	1q23.3	FCGR2A	FCGR2A			2212			rs6671847-A	rs6671847	0	6671847	intron_variant	0		1E-12	12.0		1.2	[NR]	Illumina [> 644674] (imputed)	N
8	rs114693598	1	161479745	rs1801274	2009-12-14	19915573	Asano K	2009-11-15	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/19915573	A genome-wide association study identifies three new susceptibility loci for ulcerative colitis in the Japanese population.	Ulcerative colitis	376 Japanese ancestry cases, 934 Japanese ancestry controls	376 Japanese ancestry cases, 1,097 Japanese ancestry controls	1q23.3	FCGR2A	FCGR2A			2212			rs1801274-?	rs1801274	0	1801274	missense_variant	0	0.78	2E-12	11.698970004336019		1.59	[1.39-1.82]	Illumina [513923]	N
8	rs114693598	1	161479745	rs1801274	2011-03-29	21297633	Anderson CA	2011-02-06	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21297633	Meta-analysis identifies 29 additional ulcerative colitis risk loci, increasing the number of confirmed associations to 47.	Ulcerative colitis	6,687 European ancestry cases, 19,718 European ancestry controls	9,628 European ancestry cases, 12,917 European ancestry controls	1q23.3	FCGR2A, FCGR2B, HSPA6	FCGR2A			2212			rs1801274-A	rs1801274	0	1801274	missense_variant	0	0.51	2E-20	19.69897000433602		1.21	[1.16-1.26]	Affymetrix, Illumina [~ 1100000] (imputed)	N
8	rs114693598	1	161479745	rs1801274	2013-02-12	23128233	Jostins L	2012-11-01	Nature	www.ncbi.nlm.nih.gov/pubmed/23128233	Host-microbe interactions have shaped the genetic architecture of inflammatory bowel disease.	Inflammatory bowel disease	12,924 European ancestry cases, 21,442 European ancestry controls	25,683 European ancestry cases, 17,015 European ancestry controls	1q23.3	FCGR2A, FCGR3A, FCGR2B, HSPA6, FCGR3B, FCRLA	FCGR2A			2212			rs1801274-A	rs1801274	0	1801274	missense_variant	0	0.509	2E-38	37.69897000433602		1.124	[1.092-1.157]	Affymetrix, Illumina [1230000] (imputed)	N
8	rs114693598	1	161479745	rs1801274	2014-11-26	24871463	Armstrong DL	2014-05-29	Genes Immun	www.ncbi.nlm.nih.gov/pubmed/24871463	GWAS identifies novel SLE susceptibility genes and explains the association of the HLA region.	Systemic lupus erythematosus	725 European ancestry cases, 2,438 European ancestry controls	NA	1q23.3	FCGR2A	FCGR2A			2212			rs1801274-?	rs1801274	0	1801274	missense_variant	0	NR	9E-6	5.045757490560675				Illumina [NR]	N
8	rs114693598	1	161479745	rs1801274	2015-05-07	22081228	Khor CC	2011-11-13	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/22081228	Genome-wide association study identifies FCGR2A as a susceptibility locus for Kawasaki disease.	Kawasaki disease	405 European ancestry cases, 6,252 European ancestry controls	605 European ancestry cases and 1,349 European ancestry controls from 740 families, 135 cases and 270 controls from 135 families, 1,028 East Asian ancestry cases, 1,512 East Asian ancestry controls	1q23.3	FCGR2A	FCGR2A			2212			rs1801274-A	rs1801274	0	1801274	missense_variant	0	0.47	7E-11	10.154901959985743		1.32	[1.22-1.44]	Illumina [494236]	N
8	rs114693598	1	161479745	rs1801274	2016-07-24	26192919	Liu JZ	2015-07-20	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/26192919	Association analyses identify 38 susceptibility loci for inflammatory bowel disease and highlight shared genetic risk across populations.	Crohn's disease	5,956 European ancestry cases, 14,927 European ancestry controls	14,594 European ancestry cases, 26,715 European ancestry controls, 151 Iranian ancestry cases, 342 Iranian ancestry controls, 184 Indian ancestry cases, 990 Indian ancestry controls, 1,690 East Asian ancestry cases, 3,719 East Asian ancestry controls	1q23.3	NR	FCGR2A			2212			rs1801274-G	rs1801274	0	1801274	missense_variant	0	0.5	9E-11	10.045757490560675	(EA)	1.0816648		Affymetrix, Illumina [~ 9000000] (imputed)	N
8	rs114693598	1	161479745	rs1801274	2016-07-24	26192919	Liu JZ	2015-07-20	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/26192919	Association analyses identify 38 susceptibility loci for inflammatory bowel disease and highlight shared genetic risk across populations.	Inflammatory bowel disease	12,882 European ancestry cases, 21,770 European ancestry controls	25,273 European ancestry cases, 26,715 European ancestry controls, 548 Iranian ancestry cases, 342 Iranian ancestry control, 1,423 Indian ancestry cases, 990 Indian ancestry controls, 2,824 East Asian ancestry cases, 3,719 East Asian ancestry controls	1q23.3	NR	FCGR2A			2212			rs1801274-A	rs1801274	0	1801274	missense_variant	0	0.5	9E-36	35.045757490560675	(EA)	1.1334659		Affymetrix, Illumina [~ 9000000] (imputed)	N
8	rs114693598	1	161479745	rs1801274	2016-07-24	26192919	Liu JZ	2015-07-20	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/26192919	Association analyses identify 38 susceptibility loci for inflammatory bowel disease and highlight shared genetic risk across populations.	Ulcerative colitis	6,968 European ancestry cases, 20,464 European ancestry controls	10,679 European ancestry cases, 26,715 European ancestry controls, 397 Iranian ancestry cases, 342 Iranian ancestry controls, 1,239 Indian ancestry cases, 990 Indian ancestry controls, 1,134 East Asian ancestry cases, 3,719 East Asian ancestry controls	1q23.3	NR	FCGR2A			2212			rs1801274-A	rs1801274	0	1801274	missense_variant	0	0.5	1E-41	41.0	(EA)	1.1863672		Affymetrix, Illumina [~ 9000000] (imputed)	N
8	rs114693598	1	161479745	rs1801274	2016-09-23	26502338	Bentham J	2015-10-26	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/26502338	Genetic association analyses implicate aberrant regulation of innate and adaptive immunity genes in the pathogenesis of systemic lupus erythematosus.	Systemic lupus erythematosus	5,201 European ancestry cases, 9,066 European ancestry controls	2,018 European ancestry cases, 6,925 European ancestry controls	1q23.3	FCGR2A, FCGR2B, FCGR3B	FCGR2A			2212			rs1801274-C	rs1801274	0	1801274	missense_variant	0		1E-12	12.0		1.16	[1.11–1.21]	Illumina [644674]	N
8	rs114693598	1	161479745	rs1801274	2017-02-09	26663301	Lessard CJ	2016-05-01	Arthritis Rheumatol	www.ncbi.nlm.nih.gov/pubmed/26663301	Identification of a Systemic Lupus Erythematosus Risk Locus Spanning ATG16L2, FCHSD2, and P2RY2 in Koreans.	Systemic lupus erythematosus	1,174 Korean ancestry cases, 4,246 Korean ancestry controls	739 Korean ancestry cases,  677 Chinese ancestry cases,  436 Korean ancestry controls, 709 Chinese ancestry controls	1q23.3	FCGR2A	FCGR2A			2212			rs1801274-?	rs1801274	0	1801274	missense_variant	0	NR	7E-6	5.154901959985743		1.35	[1.18-1.53]	Illumina [NR]	N
8	rs114693598	1	161479745	rs1801274	2017-02-19	27399966	Morris DL	2016-07-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/27399966	Genome-wide association meta-analysis in Chinese and European individuals identifies ten new loci associated with systemic lupus erythematosus.	Systemic lupus erythematosus	1,659 Chinese ancestry cases, 3,398 Chinese ancestry controls, 4,036 European ancestry cases, 6,959 European ancestry controls	3,043 Chinese ancestry cases, 5,074 Chinese ancestry controls, 2,643 European ancestry cases, 9,032 European ancestry controls	1q23.3	FCGR2A	FCGR2A			2212			rs1801274-?	rs1801274	0	1801274	missense_variant	0	0.497	6E-11	10.221848749616356	(EA)	1.21	[NR]	NR [6344733] (imputed)	N
8	rs114693598	1	161479745	rs1801274	2017-05-11	28031287	Sasayama D	2016-11-26	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/28031287	Genome-wide quantitative trait loci mapping of the human cerebrospinal fluid proteome.	Cerebrospinal fluid biomarker levels	133 Japanese ancestry individuals.	NA	1q23.3	NR	FCGR2A			2212			rs1801274-G	rs1801274	0	1801274	missense_variant	0	NR	9E-36	35.045757490560675	(Low affinity immunoglobulin gamma Fc region receptor II-a/b)			Illumina [514227]	N
8	rs114693598	1	161479745	rs1801274	2017-06-02	28067908	de Lange KM	2017-01-09	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/28067908	Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.	Inflammatory bowel disease	25,042 European and unknown ancestry cases, 34,915 European and unknown ancestry controls	NA	1q23.3	HSPA6, FCGR3A, FCGR3B, FCGR2B, FCGR2A	FCGR2A			2212			rs1801274-?	rs1801274	0	1801274	missense_variant	0		9E-14	13.045757490560675				Illumina [9725440] (imputed)	N
8	rs114693598	1	161479745	rs1801274	2017-06-02	28067908	de Lange KM	2017-01-09	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/28067908	Genome-wide association study implicates immune activation of multiple integrin genes in inflammatory bowel disease.	Ulcerative colitis	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls	NA	1q23.3	HSPA6, FCGR3A, FCGR3B, FCGR2B, FCGR2A	FCGR2A			2212			rs1801274-?	rs1801274	0	1801274	missense_variant	0		2E-18	17.69897000433602				Illumina [9578670] (imputed)	N
8	rs114693598	1	161479745	rs1801274	2017-10-08	28886140	Kwon YC	2017-09-08	PLoS One	www.ncbi.nlm.nih.gov/pubmed/28886140	Male-specific association of the FCGR2A His167Arg polymorphism with Kawasaki disease.	Kawasaki disease	165 East Asian ancestry male cases, 84 East Asian ancestry female cases, 783 East Asian ancestry male controls, 217 East Asian ancestry female controls	705 East Asian ancestry male cases, 507 East Asian ancestry female cases, 1,484 East Asian ancestry male controls, 2,818 East Asian ancestry female controls, 64 male cases, 36 female cases, 180 male controls, 67 male controls	1q23.3	FCGR2A	FCGR2A			2212			rs1801274-A	rs1801274	0	1801274	missense_variant	0	0.758	1E-7	7.0	(East Asian, males)	1.48	[1.28-1.71]	Illumina [NR]	N
8	rs114693598	1	161484210	rs368433	2013-09-26	23652523	Mayerle J	2013-05-08	JAMA	www.ncbi.nlm.nih.gov/pubmed/23652523	Identification of genetic loci associated with Helicobacter pylori serologic status.	Helicobacter pylori serologic status	2,623 European ancestry high titer cases, 7,862 European ancestry low or no titer controls	NA	1q23.3	FCGR2A, HSPA6	FCGR2A			2212			rs368433-C	rs368433	0	368433	intron_variant	0	0.84	2E-8	7.698970004336019		1.37	[1.23-1.54]	Affymetrix, Illumina [~ 2500000] (imputed)	N
8	rs114693598	1	161485259	rs17400517	2017-08-30	27863252	Astle WJ	2016-11-17	Cell	www.ncbi.nlm.nih.gov/pubmed/27863252	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	Hematocrit	173,039 European ancestry individuals	NA	1q23.3	FCGR2A, RP11-25K21.6	FCGR2A			2212			rs17400517-T	rs17400517	0	17400517	intron_variant	0	0.1144	3E-9	8.522878745280337		0.03329163	[0.022-0.044] unit increase	Affymetrix [~ 2500000] (imputed)	N
8	rs114693598	1	161508763	rs10919544	2017-07-18	28240269	Suhre K	2017-02-27	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/28240269	Connecting genetic risk to disease end points through the human blood plasma proteome.	Blood protein levels	997 European ancestry individuals	338 Arab, South Asian and Filipino ancestry individuals	1q23.3	HSPA6, RPS23P10, RP11-25K21.6, FCGR3A	RPS23P10 - TRN-GTT1-1	100419471	100189126		813	1268	rs10919544-C	rs10919544	0	10919544	intron_variant	1	0.3760081	4E-28	27.397940008672037	(Low affinity immunoglobulin gamma Fc region receptor III-B)	0.4773	[0.39-0.56] unit increase	Affymetrix [509946]	N
8	rs114693598	1	161508763	rs10919544	2017-07-18	28240269	Suhre K	2017-02-27	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/28240269	Connecting genetic risk to disease end points through the human blood plasma proteome.	Blood protein levels	997 European ancestry individuals	338 Arab, South Asian and Filipino ancestry individuals	1q23.3	HSPA6, RPS23P10, RP11-25K21.6, FCGR3A	RPS23P10 - TRN-GTT1-1	100419471	100189126		813	1268	rs10919544-C	rs10919544	0	10919544	intron_variant	1	0.3760081	6E-21	20.221848749616356	(EA, Low affinity immunoglobulin gamma Fc region receptor II-a/b)	0.4144	[0.33-0.5] unit decrease	Affymetrix [509946]	N
8	rs114693598	1	161540857	rs67418890	2012-02-28	22286219	Kettunen J	2012-01-29	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/22286219	Genome-wide association study identifies multiple loci influencing human serum metabolite levels.	Lipid metabolism phenotypes	8,330 European ancestry individuals	NA	1q23.3	FCGR2A, FCGR2B	FCGR3A - FCGR2C	2214	9103		20444	10272	rs67418890-?	rs67418890	0	67418890	intron_variant	1	NR	1E-10	10.0	(XL-HDL-CE)	0.19	[0.13-0.25] unit increase	Illumina [~ 7700000] (imputed)	N
8	rs114693598	1	161609572	rs201950044	2017-08-30	27863252	Astle WJ	2016-11-17	Cell	www.ncbi.nlm.nih.gov/pubmed/27863252	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	Granulocyte count	169,822 European ancestry individuals	NA	1q23.3	FCGR2B	FCGR3B - FCGR2B	2215	2213		7819	7461	rs201950044-T	rs201950044	0	201950044	intergenic_variant	1	0.1313	2E-11	10.698970004336019		0.03666194	[0.026-0.047] unit decrease	Affymetrix [~ 2500000] (imputed)	N
8	rs114693598	1	161609572	rs201950044	2017-08-30	27863252	Astle WJ	2016-11-17	Cell	www.ncbi.nlm.nih.gov/pubmed/27863252	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	Myeloid white cell count	169,219 European ancestry individuals	NA	1q23.3	FCGR2B	FCGR3B - FCGR2B	2215	2213		7819	7461	rs201950044-T	rs201950044	0	201950044	intergenic_variant	1	0.1313	7E-12	11.154901959985743		0.03735665	[0.027-0.048] unit decrease	Affymetrix [~ 2500000] (imputed)	N
8	rs114693598	1	161609572	rs201950044	2017-08-30	27863252	Astle WJ	2016-11-17	Cell	www.ncbi.nlm.nih.gov/pubmed/27863252	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	Neutrophil count	170,702 European ancestry individuals	NA	1q23.3	FCGR2B	FCGR3B - FCGR2B	2215	2213		7819	7461	rs201950044-T	rs201950044	0	201950044	intergenic_variant	1	0.1312	3E-12	11.522878745280337		0.03774076	[0.027-0.048] unit decrease	Affymetrix [~ 2500000] (imputed)	N
8	rs114693598	1	161609572	rs201950044	2017-08-30	27863252	Astle WJ	2016-11-17	Cell	www.ncbi.nlm.nih.gov/pubmed/27863252	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	Sum basophil neutrophil counts	170,143 European ancestry individuals	NA	1q23.3	FCGR2B	FCGR3B - FCGR2B	2215	2213		7819	7461	rs201950044-T	rs201950044	0	201950044	intergenic_variant	1	0.1313	3E-12	11.522878745280337		0.03783445	[0.027-0.048] unit decrease	Affymetrix [~ 2500000] (imputed)	N
8	rs114693598	1	161609572	rs201950044	2017-08-30	27863252	Astle WJ	2016-11-17	Cell	www.ncbi.nlm.nih.gov/pubmed/27863252	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	Sum neutrophil eosinophil counts	170,384 European ancestry individuals	NA	1q23.3	FCGR2B	FCGR3B - FCGR2B	2215	2213		7819	7461	rs201950044-T	rs201950044	0	201950044	intergenic_variant	1	0.1312	1E-11	11.0		0.03669597	[0.026-0.047] unit decrease	Affymetrix [~ 2500000] (imputed)	N
8	rs114693598	1	161609572	rs201950044	2017-08-30	27863252	Astle WJ	2016-11-17	Cell	www.ncbi.nlm.nih.gov/pubmed/27863252	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	White blood cell count	172,435 European ancestry individuals	NA	1q23.3	FCGR2B	FCGR3B - FCGR2B	2215	2213		7819	7461	rs201950044-T	rs201950044	0	201950044	intergenic_variant	1	0.1313	1E-11	11.0		0.03668028	[0.026-0.047] unit decrease	Affymetrix [~ 2500000] (imputed)	N
8	rs114693598	1	161623025	rs61804164	2017-08-30	27863252	Astle WJ	2016-11-17	Cell	www.ncbi.nlm.nih.gov/pubmed/27863252	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	Hemoglobin concentration	172,925 European ancestry individuals	NA	1q23.3	FCGR2B	FCGR2B			2213			rs61804164-C	rs61804164	0	61804164	intergenic_variant	0	0.1269	4E-11	10.397940008672037		0.0362632	[0.025-0.047] unit increase	Affymetrix [~ 2500000] (imputed)	N
8	rs72480273	1	161641384	rs6665610	2017-07-18	28240269	Suhre K	2017-02-27	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/28240269	Connecting genetic risk to disease end points through the human blood plasma proteome.	Blood protein levels	997 European ancestry individuals	338 Arab, South Asian and Filipino ancestry individuals	1q23.3	NR	FCGR2B			2213			rs6665610-?	rs6665610	0	6665610	synonymous_variant	0	NR	4E-160	159.39794000867204	(EA, Low affinity immunoglobulin gamma Fc region receptor II-a/b)			Affymetrix [509946]	N
8	rs72480273	1	161644811	rs17413015	2017-07-18	28240269	Suhre K	2017-02-27	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/28240269	Connecting genetic risk to disease end points through the human blood plasma proteome.	Blood protein levels	997 European ancestry individuals	338 Arab, South Asian and Filipino ancestry individuals	1q23.3	FCGR2B, RP11-25K21.1	FCGR2B			2213			rs17413015-T	rs17413015	0	17413015	non_coding_transcript_exon_variant	0	0.1474164	9E-137	136.04575749056067	(Low affinity immunoglobulin gamma Fc region receptor II-a/b)	1.361	[1.27-1.45] unit increase	Affymetrix [509946]	N
8	rs72480273	1	161644871	rs72480273	2018-01-15	27680694	Horikoshi M	2016-10-13	Nature	www.ncbi.nlm.nih.gov/pubmed/27680694	Genome-wide associations for birth weight and correlations with adult disease.	Birth weight	133,903 European ancestry individuals, 6,635 African American individuals, 420 Turkish ancestry individuals, 365 Moroccan ancestry individuals, 395 Surinamese ancestry individuals, 840 Chinese ancestry individuals.	9,799 European ancestry individuals, 1,449 Filipino ancestry individuals.	1q23.3	FCGR2B	FCGR2B			2213			rs72480273-C	rs72480273	0	72480273	non_coding_transcript_exon_variant	0	0.17	2E-9	8.698970004336019		0.03	[0.02-0.04] unit increase	Affymetrix, Illumina [at least 22434434] (imputed)	N
8	rs114693598	1	161659801	rs114931935	2015-05-30	25241909	Lee JH	2014-09-21	Respir Res	www.ncbi.nlm.nih.gov/pubmed/25241909	Genetic susceptibility for chronic bronchitis in chronic obstructive pulmonary disease.	Chronic bronchitis in chronic obstructive pulmonary disease	1,662 European ancestry cases, 3,777 European ancestry controls	NA	1q23.3	ATF6, RPL31P11	RPL31P11 - FCRLA	641311	84824		4759	16961	rs114931935-A	rs114931935	0	114931935	upstream_gene_variant	1	0.04	5E-7	6.301029995663981		1.88	[1.47-2.40]	Illumina [NR] (imputed)	N
8	rs72480273	1	161660696	rs6697139	2016-12-12	26980576	Kim K	2016-03-15	J Rheumatol	www.ncbi.nlm.nih.gov/pubmed/26980576	Response to Intravenous Cyclophosphamide Treatment for Lupus Nephritis Associated with Polymorphisms in the FCGR2B-FCRLA Locus.	Response to cyclophosphamide in systemic lupus erythematosus with lupus nephritis	93 Korean ancestry responder cases, 16 Korean ancestry non-responder cases	NA	1q23.3	FCGR2B, FCRLA, FCGR3B, RPL31P11	RPL31P11 - FCRLA	641311	84824		5654	16066	rs6697139-?	rs6697139	0	6697139	intergenic_variant	1	NR	3E-8	7.522878745280337				Illumina [491617]	N
9	rs7543550	1	170341522	rs78003935	2017-05-11	27182965	Pickrell JK	2016-05-16	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/27182965	Detection and interpretation of shared genetic influences on 42 human traits.	Male-pattern baldness	9,009 European ancestry cases, 8,491 European ancestry controls	NA	1q24.2	METTL11B, GORAB	HAUS4P1 - LOC101928650	100129402	101928650		1984	88936	rs78003935-?	rs78003935	0	78003935	upstream_gene_variant	1	NR	1E-9	9.0		1.1614403	[1.11-1.22]	Illumina [13436641] (imputed)	N
9	rs7543550	1	170367466	rs4471313	2017-05-23	25673412	Shungin D	2015-02-12	Nature	www.ncbi.nlm.nih.gov/pubmed/25673412	New genetic loci link adipose and insulin biology to body fat distribution.	Waist-hip ratio	up to 56,910 European ancestry men, up to 86,570 European ancestry women	up to 36,570 European ancestry men, 30,172 European ancestry women, 915 Filipino ancestry men, 735 Filipino ancestry women, 2,351 African American/Afro-Caribbean ancestry men, 6,258 African American/Afro-Caribbean ancestry women, 2,285 South Asian ancestry men, 506 South Asian ancestry women, 195 Seychellois ancestry men, 266 Seychellois ancestry women	1q24.2	GORAB	HAUS4P1 - LOC101928650	100129402	101928650		27928	62992	rs4471313-T	rs4471313	0	4471313	intergenic_variant	1	0.7203	7E-7	6.154901959985743	(EA)	0.0199	[0.012-0.028] unit increase	Affymetrix, Illumina, Perlegen [up to 2542447] (imputed)	N
9	rs7543550	1	170367466	rs4471313	2017-05-23	25673412	Shungin D	2015-02-12	Nature	www.ncbi.nlm.nih.gov/pubmed/25673412	New genetic loci link adipose and insulin biology to body fat distribution.	Waist-hip ratio	up to 56,910 European ancestry men, up to 86,570 European ancestry women	up to 36,570 European ancestry men, 30,172 European ancestry women, 915 Filipino ancestry men, 735 Filipino ancestry women, 2,351 African American/Afro-Caribbean ancestry men, 6,258 African American/Afro-Caribbean ancestry women, 2,285 South Asian ancestry men, 506 South Asian ancestry women, 195 Seychellois ancestry men, 266 Seychellois ancestry women	1q24.2	GORAB	HAUS4P1 - LOC101928650	100129402	101928650		27928	62992	rs4471313-T	rs4471313	0	4471313	intergenic_variant	1	0.7203	8E-9	8.096910013008056	(EA, women)	0.0301	[0.02-0.04] unit increase	Affymetrix, Illumina, Perlegen [up to 2542447] (imputed)	N
9	rs7543550	1	170372503	rs10919388	2016-02-04	25673412	Shungin D	2015-02-12	Nature	www.ncbi.nlm.nih.gov/pubmed/25673412	New genetic loci link adipose and insulin biology to body fat distribution.	Waist-to-hip ratio adjusted for body mass index	up to 56,910 European ancestry men, up to 86,570 European ancestry women	up to 36,570 European ancestry men, 30,172 European ancestry women, 915 Filipino ancestry men, 735 Filipino ancestry women, 2,351 African American/Afro-Caribbean ancestry men, 6,258 African American/Afro-Caribbean ancestry women, 2,285 South Asian ancestry men, 506 South Asian ancestry women, 195 Seychellois ancestry men, 266 Seychellois ancestry women	1q24.2	GORAB	HAUS4P1 - LOC101928650	100129402	101928650		32965	57955	rs10919388-C	rs10919388	0	10919388	intergenic_variant	1	0.7189	5E-11	10.301029995663981	(women)	0.0334	[0.023-0.043] unit increase	Affymetrix, Illumina, Perlegen [up to 2542447] (imputed)	N
9	rs7543550	1	170372503	rs10919388	2016-02-04	25673412	Shungin D	2015-02-12	Nature	www.ncbi.nlm.nih.gov/pubmed/25673412	New genetic loci link adipose and insulin biology to body fat distribution.	Waist-to-hip ratio adjusted for body mass index	up to 56,910 European ancestry men, up to 86,570 European ancestry women	up to 36,570 European ancestry men, 30,172 European ancestry women, 915 Filipino ancestry men, 735 Filipino ancestry women, 2,351 African American/Afro-Caribbean ancestry men, 6,258 African American/Afro-Caribbean ancestry women, 2,285 South Asian ancestry men, 506 South Asian ancestry women, 195 Seychellois ancestry men, 266 Seychellois ancestry women	1q24.2	GORAB	HAUS4P1 - LOC101928650	100129402	101928650		32965	57955	rs10919388-C	rs10919388	0	10919388	intergenic_variant	1	0.7203	2E-10	9.698970004336019		0.0246	[0.017-0.032] unit increase	Affymetrix, Illumina, Perlegen [up to 2542447] (imputed)	N
9	rs7543550	1	170372503	rs10919388	2016-02-04	25673412	Shungin D	2015-02-12	Nature	www.ncbi.nlm.nih.gov/pubmed/25673412	New genetic loci link adipose and insulin biology to body fat distribution.	Waist-to-hip ratio adjusted for body mass index	up to 56,910 European ancestry men, up to 86,570 European ancestry women	up to 36,570 European ancestry men, 30,172 European ancestry women, 915 Filipino ancestry men, 735 Filipino ancestry women, 2,351 African American/Afro-Caribbean ancestry men, 6,258 African American/Afro-Caribbean ancestry women, 2,285 South Asian ancestry men, 506 South Asian ancestry women, 195 Seychellois ancestry men, 266 Seychellois ancestry women	1q24.2	GORAB	HAUS4P1 - LOC101928650	100129402	101928650		32965	57955	rs10919388-C	rs10919388	0	10919388	intergenic_variant	1	0.7211	5E-10	9.301029995663981	(EA, women)	0.0326	[0.022-0.043] unit increase	Affymetrix, Illumina, Perlegen [up to 2542447] (imputed)	N
